sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error
SA3,cbr_target,0.3,42,1612.079,0.5366,100.0,1.1311,100.0,781.37,270206,ok,
SA3,cbr_target,0.3,123,1598.982,0.5249,100.0,1.1207,100.0,787.26,268781,ok,
SA3,cbr_target,0.3,456,1637.01,0.5594,100.0,1.1279,100.0,773.64,262215,ok,
SA3,cbr_target,0.4,42,664.809,0.4916,100.0,3.3883,100.0,891.91,809397,ok,
SA3,cbr_target,0.4,123,390.962,0.5086,100.0,4.8734,100.0,1036.99,1168845,ok,
SA3,cbr_target,0.4,456,595.669,0.4944,100.0,3.6567,100.0,908.85,850119,ok,
SA3,cbr_target,0.5,42,387.969,0.5093,100.0,4.8812,100.0,1026.92,1166028,ok,
SA3,cbr_target,0.5,123,387.817,0.51,100.0,4.8801,100.0,1041.86,1170437,ok,
SA3,cbr_target,0.5,456,391.683,0.5094,100.0,4.9627,100.0,1020.45,1153722,ok,
SA3,cbr_target,0.55,42,376.827,0.5104,100.0,4.882,100.0,1022.78,1166214,ok,
SA3,cbr_target,0.55,123,382.078,0.5105,100.0,4.8778,100.0,1040.92,1169897,ok,
SA3,cbr_target,0.55,456,381.187,0.5104,100.0,4.9634,100.0,1024.19,1153897,ok,
SA3,cbr_target,0.6,42,376.827,0.5104,100.0,4.882,100.0,1028.16,1166214,ok,
SA3,cbr_target,0.6,123,382.078,0.5105,100.0,4.8778,100.0,1072.73,1169897,ok,
SA3,cbr_target,0.6,456,381.187,0.5104,100.0,4.9634,100.0,1368.78,1153897,ok,
SA3,cbr_target,0.65,42,373.03,0.512,100.0,4.883,100.0,1397.13,1166453,ok,
SA3,cbr_target,0.65,123,379.657,0.5121,100.0,4.8789,100.0,1423.71,1170145,ok,
SA3,cbr_target,0.65,456,378.814,0.512,100.0,4.9645,100.0,1391.37,1154143,ok,
SA3,cbr_target,0.7,42,321.561,0.6022,100.0,5.8337,100.0,1472.21,1393540,ok,
SA3,cbr_target,0.7,123,324.795,0.6019,100.0,5.8312,100.0,1183.8,1398540,ok,
SA3,cbr_target,0.7,456,326.619,0.6017,100.0,5.9344,100.0,1110.48,1379622,ok,
